route_id,service_id,trip_id,trip_headsign
3991,6101,74949, Rīga
1399,6102,74859, Skulte
3981,6103,74950, Rīga
1398,6104,74862, Saulkrasti
3991,6105,74951, Rīga
1399,6106,74866, Skulte
3981,6107,74952, Rīga
1398,6108,74869, Saulkrasti
3991,6109,74953, Rīga
1399,6110,74871, Skulte
3981,6111,74954, Rīga
1230,6112,77584, Carnikava
3991,6113,74955, Rīga
1399,6114,77586, Skulte
2301,6115,74956, Rīga
3981,6117,74957, Rīga
1398,6118,74907, Saulkrasti
3991,6119,77593, Rīga
1399,6122,74910, Skulte
3991,6123,74961, Rīga
1398,6126,74913, Saulkrasti
3981,6127,74963, Rīga
1399,6130,74917, Skulte
3991,6131,74965, Rīga
1398,6134,74930, Saulkrasti
3981,6135,74969, Rīga
1399,6138,74932, Skulte
3991,6139,74971, Rīga
1230,6140,77588, Carnikava
1398,6142,74934, Saulkrasti
3981,6143,74973, Rīga
1230,6144,77344, Carnikava
2301,6145,77343, Rīga
1399,6146,74936, Skulte
3991,6147,74975, Rīga
1398,6148,77591, Saulkrasti
2301,6149,77345, Rīga
3981,6151,74977, Rīga
1399,6152,74939, Skulte
1398,6154,77349, Saulkrasti
3991,6155,74979, Rīga
1399,6156,74941, Skulte
3981,6157,77348, Rīga
1398,6158,77351, Saulkrasti
3991,6159,74981, Rīga
1399,6160,74943, Skulte
3981,6161,77350, Rīga
1398,6162,74944, Saulkrasti
3991,6163,74983, Rīga
1399,6164,74945, Skulte
3981,6165,77352, Rīga
1399,6166,74946, Skulte
3991,6167,74986, Rīga
1399,6168,76673, Skulte
3991,6169,74987, Rīga
1399,6170,74948, Skulte
2981,6201,74736, Rīga
1203,6202,74702, Aizkraukle
1203,6202,77519, Aizkraukle
2031,6203,74737, Rīga
1339,6204,74703, Ogre
1339,6204,77520, Ogre
2981,6205,74738, Rīga
1203,6206,74704, Aizkraukle
2031,6207,74739, Rīga
1339,6208,74705, Ogre
3391,6209,74740, Rīga
1298,6210,74706, Lielvārde
2981,6211,74741, Rīga
1203,6212,74707, Aizkraukle
3391,6213,74742, Rīga
1298,6214,74708, Lielvārde
2031,6215,74749, Rīga
1203,6216,74709, Aizkraukle
2981,6217,74751, Rīga
1298,6218,74710, Lielvārde
2031,6219,74755, Rīga
1339,6220,74712, Ogre
2981,6221,74758, Rīga
1203,6222,74713, Aizkraukle
2031,6223,74770, Rīga
1203,6224,74714, Aizkraukle
3391,6225,74772, Rīga
1203,6226,74715, Aizkraukle
2981,6227,74773, Rīga
1298,6228,74716, Lielvārde
2031,6229,74774, Rīga
1339,6230,74717, Ogre
2031,6231,74775, Rīga
1203,6232,74718, Aizkraukle
2031,6233,74776, Rīga
1339,6234,74719, Ogre
2031,6235,74777, Rīga
1243,6236-822,75143, Daugavpils
3391,6237,74778, Rīga
1298,6238,74720, Lielvārde
2981,6239,74779, Rīga
1203,6240,74721, Aizkraukle
3391,6241,74780, Rīga
1298,6242,74722, Lielvārde
1203,6244,74723, Aizkraukle
2981,6245,74785, Rīga
1298,6246,74724, Lielvārde
2031,6247,74787, Rīga
1339,6248,74725, Ogre
2981,6249,74788, Rīga
1203,6250,74726, Aizkraukle
2031,6251,74789, Rīga
1298,6252,74727, Lielvārde
3391,6253,74790, Rīga
1203,6254,74728, Aizkraukle
2981,6255,74791, Rīga
1298,6256,74729, Lielvārde
2031,6257,74792, Rīga
1203,6258,74730, Aizkraukle
2981,6259,74793, Rīga
2981,6259,77521, Rīga
1339,6260,74731, Ogre
2031,6261,74794, Rīga
1298,6262,74732, Lielvārde
1298,6262,77516, Lielvārde
2981,6263,74795, Rīga
1243,6264-824,75145, Daugavpils
2031,6265,74796, Rīga
2031,6265,77522, Rīga
1298,6266,74733, Lielvārde
1298,6266,77517, Lielvārde
3391,6267,74798, Rīga
2981,6267,77523, Rīga
1203,6268,74734, Aizkraukle
1203,6268,77518, Aizkraukle
1298,6270,74735, Lielvārde
1252,6301,76825, Dubulti
2521,6302,76837, Rīga
1252,6303,76827, Dubulti
2521,6304,76839, Rīga
1252,6305,76831, Dubulti
2521,6306,76843, Rīga
1252,6307,76847, Dubulti
2521,6308,76846, Rīga
1252,6309,76851, Dubulti
2521,6310,76854, Rīga
1252,6311,76860, Dubulti
2521,6312,76855, Rīga
1252,6313,76862, Dubulti
2521,6314,76857, Rīga
1252,6315,76864, Dubulti
2521,6316,76859, Rīga
1252,6317,76872, Dubulti
2521,6318,76868, Rīga
1252,6319,76877, Dubulti
2521,6320,76871, Rīga
1252,6321,76880, Dubulti
2521,6322,76873, Rīga
1252,6323,76888, Dubulti
2521,6324,76876, Rīga
1252,6325,76890, Dubulti
2521,6326,76878, Rīga
1252,6327,76898, Dubulti
2521,6328,76883, Rīga
1252,6329,76899, Dubulti
2521,6330,76886, Rīga
1252,6331,76907, Dubulti
2521,6332,76892, Rīga
1252,6333,76910, Dubulti
2521,6334,76894, Rīga
1252,6335,76943, Dubulti
2521,6336,76902, Rīga
1252,6337,76945, Dubulti
2521,6338,76904, Rīga
1252,6339,76949, Dubulti
2521,6340,76911, Rīga
1252,6341,76951, Dubulti
2521,6342,76913, Rīga
1252,6343,76958, Dubulti
2521,6344,76919, Rīga
1252,6345,76960, Dubulti
2521,6346,76921, Rīga
1252,6347,76968, Dubulti
2521,6350,77016, Rīga
1252,6351,76973, Dubulti
2521,6352,77018, Rīga
1252,6353,76974, Dubulti
2521,6354,77024, Rīga
1252,6355,76975, Dubulti
2521,6356,77025, Rīga
1252,6357,76976, Dubulti
2521,6358,77026, Rīga
1252,6359,76979, Dubulti
2521,6360,77031, Rīga
1252,6361,76980, Dubulti
2521,6362,77032, Rīga
1252,6363,76981, Dubulti
2521,6364,77034, Rīga
1252,6365,76984, Dubulti
2521,6366,77037, Rīga
1252,6367,76985, Dubulti
2521,6368,77038, Rīga
1252,6369,76986, Dubulti
2521,6370,77039, Rīga
1252,6371,76993, Dubulti
2521,6372,77044, Rīga
1252,6373,76989, Dubulti
2521,6374,77045, Rīga
1252,6375,76990, Dubulti
2521,6376,77046, Rīga
1252,6377,76994, Dubulti
2521,6378,77049, Rīga
1252,6379,76995, Dubulti
2521,6380,77050, Rīga
1252,6381,76998, Dubulti
2521,6382,77053, Rīga
1252,6383,77001, Dubulti
2521,6384,77056, Rīga
1252,6385,77482, Dubulti
1394,6401,76905, Sloka
3941,6402,76889, Rīga
1394,6403,76947, Sloka
3941,6404,76908, Rīga
1397,6501-6901,76823, Tukums 2
1397,6503-6903,76829, Tukums 2
1397,6505-6905,76856, Tukums 2
1397,6507-6907,76869, Tukums 2
1397,6509-6909,76884, Tukums 2
1397,6511-6911,76896, Tukums 2
1397,6513-6913,76922, Tukums 2
1397,6515-6915,76956, Tukums 2
1397,6517-6917,76964, Tukums 2
1397,6519-6919,76962, Tukums 2
1397,6521-6921,76978, Tukums 2
1397,6523-6923,76983, Tukums 2
1397,6525-6925,76988, Tukums 2
1397,6527-6927,76992, Tukums 2
1397,6529-6929,76997, Tukums 2
1397,6531-6931,77000, Tukums 2
1397,6533-6933,77003, Tukums 2
1397,6535-6935,77006, Tukums 2
1349,6701,74743, Jelgava
3491,6702,74781, Rīga
3491,6704,74782, Rīga
1349,6705,74747, Jelgava
3491,6708,74784, Rīga
1349,6709,74748, Jelgava
3491,6712,74800, Rīga
1349,6713,74750, Jelgava
3491,6716,74801, Rīga
1349,6717,74752, Jelgava
3491,6720,74802, Rīga
1349,6721,74753, Jelgava
3491,6724,74803, Rīga
1349,6725,74754, Jelgava
3491,6728,74804, Rīga
1349,6729,74756, Jelgava
3491,6732,74805, Rīga
1349,6733,74757, Jelgava
3491,6736,74807, Rīga
1349,6737,74759, Jelgava
3491,6740,74809, Rīga
1349,6741,74760, Jelgava
3491,6744,74810, Rīga
1349,6745,74761, Jelgava
3491,6748,74812, Rīga
1349,6749,74763, Jelgava
3491,6752,74814, Rīga
1349,6753,74764, Jelgava
3491,6756,74815, Rīga
1349,6757,74765, Jelgava
3491,6760,74818, Rīga
1349,6761,74766, Jelgava
1349,6763,74767, Jelgava
3491,6764,74819, Rīga
1349,6765,74768, Jelgava
3491,6766,74820, Rīga
1349,6767,74771, Jelgava
3491,6768,74821, Rīga
1349,6871,77328, Jelgava
3491,6872,77329, Rīga
3491,6872,77646, Rīga
1349,6873,74762, Jelgava
3491,6874,74817, Rīga
3491,6874,77649, Rīga
1349,6875,77322, Jelgava
3491,6876,77323, Rīga
3491,6876,77645, Rīga
1349,6877,77324, Jelgava
3491,6878,77325, Rīga
3491,6878,77647, Rīga
1349,6879,77326, Jelgava
3491,6880,77327, Rīga
3491,6880,77648, Rīga
1349,6881,77643, Jelgava
3491,6882,77644, Rīga
3971,6902-6502,76833, Rīga
3971,6904-6504,76835, Rīga
3971,6906-6506,76841, Rīga
3971,6908-6508,76853, Rīga
3971,6910-6510,76867, Rīga
3971,6912-6512,76875, Rīga
3971,6914-6514,76881, Rīga
3971,6916-6516,76897, Rīga
3971,6918-6518,76916, Rīga
3971,6920-6520,77011, Rīga
3971,6922-6522,77023, Rīga
3971,6924-6524,77030, Rīga
3971,6926-6526,77036, Rīga
3971,6928-6528,77041, Rīga
3971,6930-6530,77048, Rīga
3971,6932-6532,77052, Rīga
3971,6934-6534,77055, Rīga
3971,6936-6536,77058, Rīga
3721,701,75109, Rīga
3721,701,75482, Rīga
1372,702,75102, Rēzekne 2
1372,702,75455, Rēzekne 2
1243,704,75276, Daugavpils
2691,705,75126, Rīga
2691,705,75465, Rīga
1269,706,75116, Krāslava
1269,706,75462, Krāslava
3131,707,75171, Rīga
3131,707,75471, Rīga
1313,708,75164, Indra
1313,708,75468, Indra
1300,721,75091, Liepāja
3001,722,75093, Rīga
1300,723,75095, Liepāja
3001,724,75097, Rīga
2431,801,77379, Rīga
1243,802,77391, Daugavpils
2911,803,75044, Rīga
2911,803,77512, Rīga
1291,804,75042, Gulbene
1291,804,77502, Gulbene
4461,805,77414, Rīga
1446,806,77418, Zilupe
2911,807,77506, Rīga
2431,809,77385, Rīga
1243,810,77397, Daugavpils
4461,811,77408, Rīga
1446,812,77422, Zilupe
2431,813,77373, Rīga
1243,814,77403, Daugavpils
3151,815,75057, Rīga
1315,816,75054, Madona
3151,817,75059, Rīga
2911,819,75052, Rīga
1291,820,75050, Gulbene
2431,821-6243,75183, Rīga
2431,823-6269,75185, Rīga
2431,823-6269,77525, Rīga
2431,825,75202, Rīga
1408,830,77544, Sigulda
4081,831,77609, Rīga
1408,832,77550, Sigulda
4081,833,77613, Rīga
1408,834,77552, Sigulda
4081,835,77616, Rīga
1408,836,77557, Sigulda
4081,837,77620, Rīga
1408,838,77559, Sigulda
2331,839,77624, Rīga
1233,840,77561, Cēsis
4081,841,77622, Rīga
1408,842,77564, Sigulda
4081,843,77630, Rīga
1408,844,77568, Sigulda
4081,845,77632, Rīga
1408,846,77574, Sigulda
2331,847,77606, Rīga
1233,848,77576, Cēsis
4081,849,77604, Rīga
1408,850,77582, Sigulda
4321,861,77611, Rīga
1432,862,77542, Valmiera
4321,863,77597, Rīga
1432,864,77566, Valmiera
4321,865,77595, Rīga
1432,866,77572, Valmiera
1432,868,77579, Valmiera
4601,871,77626, Rīga
1460,872,77546, Valga
4601,873,77618, Rīga
1460,874,77555, Valga
4601,875,77602, Rīga
1460,876,77570, Valga
